GenerationIndex, Maximum, Minimum, Average
0, 2799.0594496304557, 2546.0454088440038, 2614.0583007689993
1, 2841.450688696227, 2554.3775602879705, 2655.352523300032
2, 2842.785776184608, 2554.744607074611, 2698.7272262543447
3, 2923.8311382290863, 2552.482212738988, 2775.6386129823863
4, 2942.324477163468, 2549.995089902647, 2822.4056590253813
5, 2956.158598564824, 2546.0209932768958, 2872.886254503472
6, 2964.7695070267555, 2569.9209457800935, 2893.618277611537
7, 2961.695570936151, 2563.189679084937, 2905.977676036649
8, 2964.0169107081842, 2567.0236809505923, 2911.1566476775206
9, 2967.9047440104923, 2560.0245711174866, 2929.416780031408
10, 2970.8952126146896, 2563.4550095964046, 2924.8988666886808
11, 2974.369706774543, 2561.2475466504734, 2917.5087883259753
12, 2971.722420629079, 2558.452619169111, 2926.430714032361
13, 2974.0675960025783, 2542.4508748197777, 2931.4263490957874
14, 2975.9085184341475, 2570.885060136762, 2933.0690672292462
15, 2974.444936650404, 2553.4022396937116, 2929.0484716691994
16, 2975.4022943731834, 2558.971702007835, 2930.6241102204303
17, 2978.070828936184, 2564.490084147216, 2935.290963039421
18, 2975.567407349912, 2547.71149797013, 2933.145138435882
19, 2977.329739793139, 2559.35800690777, 2938.3545406929898
