GenerationIndex, Maximum, Minimum, Average
0, 2352.7555508416012, 2347.7038011103195, 2351.385066630343
1, 2354.3723397897993, 2329.539366531851, 2351.6561461149163
2, 2354.1041819947422, 2328.3055975686902, 2351.669858866251
3, 2353.6898655388122, 2329.6148279938207, 2351.540938730956
4, 2353.7772739569727, 2341.924383159904, 2351.7460221856313
5, 2354.463814007184, 2334.398779775544, 2351.6748332445986
6, 2354.5945158823138, 2327.594567049298, 2351.623973842421
7, 2355.3531892411343, 2332.8605737802736, 2351.541648718892
8, 2354.794005775323, 2330.730315501096, 2351.5165459417026
9, 2355.1787179331104, 2334.9185500164294, 2352.0286073936336
