GenerationIndex, Maximum, Minimum, Average
0, 2035.8456369430908, 2031.219472004455, 2033.5906516400712
1, 2057.1547931701984, 2028.958366117617, 2034.3006816530115
2, 2057.190313071742, 2028.4803855485757, 2034.874387333946
3, 2066.0733135427117, 2029.0365387607958, 2036.2337532901397
4, 2073.8793371791066, 2030.6243366031208, 2039.0619011109554
5, 2209.059282342981, 2030.3647538177017, 2045.8247993332525
6, 2194.071817569829, 1977.4540667267, 2052.0680773332533
7, 2124.4024273569207, 1955.0240484397, 2057.6871017766284
8, 2203.748643541379, 1992.0791040253685, 2070.4298697854156
9, 2207.324730975742, 1984.0071887364716, 2076.0777065682832
10, 2228.546047554816, 1973.8214326219593, 2084.441142533903
11, 2247.0344056948315, 1855.4464458463428, 2087.8966744087916
12, 2246.790471647743, 1943.9742741526575, 2096.8287562409414
13, 2242.6989583895343, 1934.6789899065416, 2097.9604444245697
14, 2253.0368912160297, 1985.8918116504221, 2105.855868100702
15, 2250.680148493597, 1875.3752462865878, 2113.5807806655157
16, 2258.2632445414038, 1724.855537146936, 2119.9821759492297
17, 2316.661047964738, 2019.8492705157864, 2142.491178872768
18, 2388.553897099506, 2016.8523617635417, 2169.9034225827195
19, 2387.685889807645, 1985.3374396005836, 2190.3719667264604
