GenerationIndex, Maximum, Minimum, Average
0, 2027.799825541543, 2020.6362060078825, 2022.4177870977624
1, 2171.7318973673628, 1906.004254111731, 2024.4023628962384
2, 2214.6647394016472, 1881.467184315175, 2025.8875136241418
3, 2230.4149123011625, 1839.915778621667, 2027.1034187631349
4, 2228.450153724584, 1850.5191005423121, 2031.0588634414712
5, 2229.9759073125506, 1867.4588597967308, 2032.4511180658476
6, 2218.8505932458697, 1843.578185783375, 2031.8263890727922
7, 2203.027788269579, 1863.54648742551, 2036.6272021889756
8, 2216.5214156964994, 1910.2767545116285, 2037.3194511187714
9, 2182.4228462144783, 1859.6083219793854, 2041.8602694642143
