GenerationIndex, Maximum, Minimum, Average
0, 2240.6530967024983, 2232.978096699356, 2238.5805849615626
1, 2241.7588610951916, 2231.949637743673, 2238.7155197074003
2, 2242.776861777987, 2232.3980118920167, 2238.9525086282965
3, 2243.8645361674817, 2231.719530946501, 2239.2269270944116
4, 2243.794985416394, 2232.73324860967, 2239.6983974031527
5, 2243.5652197655577, 2233.565809351325, 2240.1161059460483
6, 2243.38157653923, 2231.3829697428755, 2240.3834243845076
7, 2243.404914539871, 2230.7343335157125, 2240.824736192933
8, 2243.428343681654, 2231.486185394099, 2241.156944733943
9, 2243.486163965391, 2232.5880738946776, 2241.500707045912
