GenerationIndex, Maximum, Minimum, Average
0, 3255.897037385087, 3146.8425696887107, 3207.6651013582477
1, 3373.0144120297305, 3066.281457785706, 3214.9843674579515
2, 3415.3504415873604, 2799.863895683552, 3226.9399362384056
3, 3441.612933135203, 2830.5900163731494, 3237.593005743198
4, 3438.8819436439926, 2759.9723525584527, 3265.803873511815
5, 3369.3217981303596, 2630.2522601442233, 3274.536223549733
6, 3413.037069410411, 2866.3768176841018, 3291.130928086963
7, 3448.175946343396, 2516.4725884202967, 3292.1797633578303
8, 3443.438722367727, 2732.0759929652386, 3304.770254983087
9, 3459.442601621233, 2987.248127523307, 3322.3837207242805
