GenerationIndex, Maximum, Minimum, Average
0, 2926.9856068631934, 2549.654018839215, 2656.6425043376616
1, 2949.137139954342, 2552.648972075229, 2791.581546350139
2, 2971.8606492166964, 2569.9921367390293, 2874.1446383086086
3, 2981.2214312450783, 2548.5735185930594, 2891.619070808485
4, 3002.513329024841, 2557.104175815929, 2923.8278528095175
5, 2992.268518990365, 2562.8675743645645, 2930.3970129379027
6, 2998.596868248267, 2571.8569080348816, 2933.42787833871
7, 3001.5583661333276, 2554.0388363890834, 2940.06298680939
8, 2996.0410703268085, 2567.013607851952, 2940.2598549004456
9, 3000.0657450391373, 2559.1525563559503, 2942.2732820388815
10, 3001.111451991826, 2570.8776218336598, 2945.1054588807183
11, 3001.89706826835, 2561.7809838720445, 2943.8770190626938
12, 3003.152821254173, 2558.634862197766, 2949.593606554986
13, 3005.181473144634, 2571.452308316076, 2951.101486239219
14, 3003.864664493534, 2561.2163085160346, 2954.895763440022
15, 3004.1518535352193, 2574.00152409092, 2955.123162404218
16, 3002.4425447357085, 2561.6953906877966, 2948.244384799662
17, 3003.690331732516, 2555.6847829946387, 2952.515133354621
18, 3005.977223409632, 2562.176030646208, 2952.6923675309686
19, 3004.4145284510123, 2553.9333036509815, 2955.1791065408706
