GenerationIndex, Maximum, Minimum, Average
0, 2358.608385743851, 2353.1678586402327, 2357.0974188420596
1, 2368.6916086357623, 2340.192898525686, 2357.4755239013243
2, 2368.3702627741964, 2345.2217450480166, 2357.8703999426666
3, 2368.678327495672, 2306.369581637682, 2358.104080084516
4, 2368.718576733792, 2288.5455761761273, 2359.5279857616847
5, 2527.0843240377235, 2308.551611258694, 2362.334644335206
6, 2539.4930458694375, 2272.828053932527, 2365.7016195564297
7, 2529.5913206946725, 2269.863869369974, 2370.707230675702
8, 2584.913402243625, 2267.800258196816, 2379.3360115667483
9, 2586.5350871109385, 2302.855904774451, 2392.773763441747
