GenerationIndex, Maximum, Minimum, Average
0, 2035.9325851645758, 2031.1456558162856, 2033.5424665312153
1, 2037.075142080087, 2028.4015517956252, 2034.0464100907934
2, 2038.137417991452, 2028.4434051298626, 2034.1659777368668
3, 2038.0081117327786, 2028.32718825499, 2034.4604860443508
4, 2038.9101243428581, 2027.3161908414688, 2034.9250360992776
5, 2038.6628549311417, 2027.4694611643486, 2035.3871251037397
6, 2039.1356723077893, 2028.1007007816388, 2035.9157387296682
7, 2039.9857691757206, 2031.2783801432774, 2036.2855506530602
8, 2039.9275148212255, 2027.8307700149726, 2036.6003841490322
9, 2039.3525169398326, 2029.1459527463019, 2037.0404634059348
