GenerationIndex, Maximum, Minimum, Average
0, 2011.3586130762938, 2001.6057966242865, 2007.264499413874
1, 2011.557063501832, 1999.162104524969, 2009.125878396802
2, 2011.8220886002466, 1998.738329205441, 2009.9205319245693
3, 2011.6950039224002, 2001.2439492661651, 2009.902520298645
4, 2011.6902751883117, 2000.1055952701909, 2009.8482712902783
5, 2011.8393061340907, 1999.6109764791952, 2009.7702534753882
6, 2011.6180090412454, 2000.6404557888477, 2009.8994912265282
7, 2011.6033587147786, 1998.4936353033077, 2009.9177071688205
8, 2011.5619824121736, 1996.0607410169077, 2010.0732373662117
9, 2011.707166978119, 1998.9700008465816, 2010.049554702972
