GenerationIndex, Maximum, Minimum, Average
0, 2257.033621435805, 2252.3192187237146, 2255.6130682791763
1, 2364.475478824893, 2218.2221495853514, 2255.805937396258
2, 3221.996659963457, 2218.77928175687, 2257.955083650616
3, 2264.5689754206032, 2184.7562466009967, 2255.804833788572
4, 2442.0423659693533, 2047.033331817129, 2257.219820746189
5, 3929.3557335920527, 2021.19766524826, 2266.1638584076327
6, 3931.211788873008, 1985.543565417422, 2302.911297312427
7, 3959.14383118569, 2072.8740863100893, 2304.3903060977145
8, 3867.0479160480786, 1936.6222374491902, 2336.606247166792
9, 3896.7864969814827, 1893.9029599659737, 2336.3299956467636
