GenerationIndex, Maximum, Minimum, Average
0, 2361.8000612155365, 2357.670709820729, 2360.8697915871535
1, 2369.237703339514, 2356.9132260639344, 2361.4449318217316
2, 2469.7219356317673, 2355.2289750095106, 2362.358113815353
3, 2372.96372760136, 2352.440015223836, 2362.6610138358574
4, 2594.7308652039987, 2349.2088572329676, 2367.7313136305206
5, 2589.1313929753405, 2357.220891749671, 2372.451356813596
6, 2600.179358812914, 2337.906080144511, 2376.670715874923
7, 2708.619156256642, 2235.2293183044153, 2381.3071457854535
8, 2720.7308292119837, 2232.455362075547, 2395.5681470705285
9, 2704.6535946897257, 2291.316028513039, 2405.136086377618
