GenerationIndex, Maximum, Minimum, Average
0, 2243.3479323861893, 1926.0814882956142, 2083.3357185620066
1, 2290.3188439972514, 1815.145411696129, 2095.022128331551
2, 2290.1079959200047, 1779.3187256074982, 2092.0680835639128
3, 2319.5984637182823, 1763.63005901703, 2110.2226109258736
4, 2377.6313687782476, 1868.1022818410572, 2136.4602240645727
5, 2425.740609744509, 1830.1592805253945, 2189.6716394568034
6, 2412.0210544588813, 1797.7112155990967, 2223.7262384268383
7, 2408.785514993138, 1825.0653311559574, 2235.6375391280394
8, 2513.1208725042507, 1765.6654400159482, 2236.5184309102597
9, 2526.5899120658005, 1782.0257369472615, 2246.3626114122017
