GenerationIndex, Maximum, Minimum, Average
0, 2243.948333752696, 2232.7155814921816, 2241.035139817333
1, 2248.7126629681225, 2229.4200219268096, 2241.6223602548857
2, 2246.1502342425056, 2231.3840803511575, 2242.500665145747
3, 2253.090173252744, 2233.9194428578808, 2242.7467025803317
4, 2250.8217194382287, 2230.1766605521047, 2242.381281015789
5, 2249.281771256057, 2230.0442450620467, 2242.402449697417
6, 2248.4800816452835, 2230.711773215239, 2242.487399956875
7, 2249.282828089665, 2232.719288188355, 2242.800763040929
8, 2249.322422378525, 2230.4253473613626, 2242.7992299835273
9, 2287.442570216189, 2230.081030811032, 2243.5239391450204
10, 2282.268165231615, 2232.532942578118, 2244.883045620163
11, 2253.104501919615, 2180.3051228434942, 2245.853711319131
12, 2332.8570978046127, 2233.2569386399846, 2248.080465398677
13, 2328.6298420772036, 2237.988426733972, 2249.536038929221
14, 2499.620242353064, 2232.251164741293, 2252.9010749809136
15, 2503.997324850752, 2218.3783772419424, 2255.256759072741
16, 2375.7635499908406, 2143.8205458537914, 2257.814324172256
17, 2398.4717964414995, 2152.177718468116, 2260.012868796605
18, 2356.3617356082686, 2234.2222924130056, 2268.1222181874623
19, 3614.8202767118496, 2086.103811672397, 2281.0604904485167
