GenerationIndex, Maximum, Minimum, Average
0, 3287.0934277224287, 2955.0699990593903, 3163.566610748299
1, 3511.3316453885845, 3045.3173919563924, 3245.7977302974637
2, 3503.2397572391, 2831.4575552936, 3276.1022086443677
3, 3518.6904515787755, 2784.9323670072536, 3290.4788993915254
4, 3528.1029023530414, 2999.948439608869, 3337.8712099162817
5, 3541.3499319843622, 2786.2702798898968, 3352.80688662201
6, 3559.4818188908644, 2776.754556669122, 3363.3199905580386
7, 3569.293361453728, 2635.4171708314225, 3402.2880158715684
8, 3591.649866392983, 2777.5602249416233, 3395.209582334759
9, 3584.5532778761726, 2842.1405258209866, 3430.9635499699293
